Temperature_C,Revenue_USD
32.8,607.44
22.6,575.87
25.2,613.3
22.2,619.43
11.8,485.51
30.3,584.24
14.8,451.02
5.9,385.93
27.6,589.06
11.2,467.33
37.9,565.56
38.4,467.48
37.0,514.56
18.0,579.11
5.5,453.91
37.5,478.91
20.0,622.33
38.8,504.63
38.7,476.34
34.9,565.3
15.3,558.98
18.5,560.73
34.8,554.17
16.1,548.77
10.9,504.45
24.5,619.73
37.8,566.1
29.4,553.36
25.0,663.99
8.4,403.68
26.5,594.28
39.7,510.31
9.9,494.47
23.1,579.59
35.7,536.43
30.9,567.65
29.4,572.66
29.6,614.97
17.6,583.2
15.3,531.93
33.3,592.31
33.4,574.32
35.3,570.85
37.0,547.33
22.9,572.92
22.6,580.2
32.9,590.89
27.7,614.53
29.6,588.94
32.9,572.69
36.2,576.17
16.8,548.88
18.1,592.92
8.3,454.31
25.2,593.44
6.3,457.33
21.3,617.9
24.0,623.9
15.0,589.45
25.7,600.4
6.1,441.24
6.3,415.98
33.8,571.08
17.6,568.77
9.4,481.96
23.3,616.37
31.9,551.3
12.6,585.32
26.8,568.2
8.0,418.86
6.8,469.28
23.6,622.77
23.9,618.14
27.3,616.18
30.4,584.98
39.2,472.9
23.1,600.41
16.3,541.87
32.8,598.59
14.5,540.24
20.4,564.49
7.7,441.51
5.9,429.74
38.7,489.34
34.3,532.47
29.4,597.81
19.3,591.18
11.1,487.7
10.5,480.39
13.8,543.78
24.2,556.26
30.0,545.22
28.1,573.62
14.8,541.55
38.4,519.28
30.8,627.29
24.4,625.55
26.4,594.21
19.7,585.31
13.7,505.75
