Temperature_C,Revenue_USD
19.4,590.75
33.8,563.4
28.3,619.67
25.0,469.83
13.9,319.22
13.9,342.28
11.5,338.16
31.7,662.36
25.0,518.22
27.7,583.97
10.5,296.91
34.2,748.1
30.8,645.03
15.3,376.7
14.5,344.8
14.6,380.45
17.6,374.04
23.1,499.27
20.8,450.29
17.3,337.07
25.3,717.77
13.5,180.19
17.3,396.28
19.2,423.8
21.4,421.42
29.6,625.76
15.0,336.13
22.9,475.03
24.8,539.76
11.2,289.39
25.2,629.22
14.3,342.25
11.6,292.83
33.7,721.46
34.1,656.07
30.2,653.14
17.6,404.72
12.4,397.37
27.1,584.42
21.0,482.14
13.1,459.63
22.4,300.84
10.9,312.91
32.7,734.74
16.5,411.03
26.6,544.89
17.8,461.97
23.0,453.96
23.7,546.83
14.6,430.05
34.2,695.17
29.4,614.91
33.5,723.74
32.4,677.27
24.9,486.92
33.0,713.68
12.2,251.75
14.9,366.94
11.1,235.84
18.1,474.66
19.7,563.01
16.8,222.79
30.7,696.91
18.9,379.14
17.0,399.57
23.6,573.63
13.5,256.16
30.1,658.48
11.9,297.67
34.7,774.72
29.3,586.64
15.0,296.54
10.1,273.64
30.4,669.61
27.7,613.45
28.2,628.36
29.3,608.43
11.9,296.31
19.0,440.96
12.9,279.36
31.6,906.18
25.6,430.6
18.3,367.8
11.6,308.04
17.8,366.5
18.1,444.08
28.2,661.15
25.9,535.95
32.2,732.14
21.8,502.62
13.0,342.68
27.8,682.49
29.0,620.58
24.0,500.49
29.3,599.9
22.3,464.27
23.1,508.28
20.7,477.42
10.6,273.78
12.7,337.03
